,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00089249,105,7,6,6,3,-,3,-,2,-,28,25,11,12,2,-,-,39.6,43
S00089250,88,2,4,4,6,3,1,2,4,4,23,24,4,4,2,1,-,37.3,39
S00089251,106,7,3,1,8,3,1,2,10,6,24,25,2,11,2,-,1,37.1,36
S00089252,118,7,6,4,12,2,4,1,1,2,25,35,6,9,3,1,-,38.6,43
S00089253,129,5,4,4,7,1,1,8,3,5,39,19,12,6,12,3,-,41.9,41
S00089254,137,10,8,2,8,2,5,1,5,5,34,30,7,12,6,2,-,38.8,38
S00089255,119,11,3,4,-,-,4,3,7,14,37,19,4,12,1,-,-,35.2,34
S00089256,109,13,3,2,4,-,1,2,5,4,30,29,5,6,5,-,-,37.7,39
S00089257,97,4,3,1,4,3,4,2,8,4,21,28,4,9,2,-,-,38.7,40
S00089258,100,5,4,1,2,-,1,3,11,17,26,15,3,9,3,-,-,36.2,33
S00089259,84,4,5,-,5,-,1,1,9,15,23,12,1,4,3,1,-,33.9,31
S00089260,136,10,3,4,7,4,3,1,5,3,42,30,10,6,3,4,1,39.1,41
S00089261,158,16,5,1,5,-,-,4,7,18,51,32,12,3,-,3,1,36.0,37
S00089262,108,1,-,-,-,2,1,4,24,16,23,12,5,6,8,5,1,40.9,31
S00089263,92,4,-,-,-,-,2,2,15,22,26,15,3,2,1,-,-,32.9,30
S00089264,139,3,4,1,3,1,2,1,18,21,35,25,6,11,6,2,-,39.3,37
S00089265,84,2,1,-,-,-,2,8,23,20,18,7,1,1,1,-,-,29.0,25
S00089266,100,9,2,1,2,1,-,1,11,21,30,13,4,5,-,-,-,32.2,30
S00089267,79,-,-,-,-,-,-,4,23,24,17,6,2,3,-,-,-,31.7,27
S00089268,113,11,2,-,-,-,-,1,19,28,35,12,5,-,-,-,-,30.0,29
S00089269,101,5,3,-,1,1,-,1,6,25,35,18,-,3,2,1,-,34.4,31
S00089270,120,5,-,1,-,-,3,5,13,22,36,23,-,7,4,-,1,36.7,35
S00089271,90,7,4,1,3,3,3,2,2,2,21,23,6,7,5,1,-,40.2,43
S00089272,69,3,3,2,6,-,-,3,5,-,17,16,3,10,1,-,-,40.1,42
S00089273,101,4,3,-,-,-,-,5,17,20,33,10,3,4,2,-,-,32.5,30
S00089274,129,5,3,-,3,2,4,1,15,12,39,33,7,4,1,-,-,36.6,36
S00089275,64,-,-,-,-,-,-,-,-,-,-,2,3,14,31,9,5,77.9,79
S00089276,59,2,-,-,-,-,-,-,7,6,27,14,-,2,1,-,-,37.1,35
S00089277,177,6,5,4,11,4,4,1,10,11,44,40,9,7,18,2,1,41.8,41
S00089278,66,-,-,-,-,-,-,-,-,-,1,1,1,17,34,7,5,77.9,79
S00089279,67,3,4,2,4,1,1,-,7,6,12,21,4,2,-,-,-,35.3,38
S00089280,59,3,2,2,3,-,-,2,3,3,10,13,7,6,5,-,-,43.2,46
S00089281,75,3,-,1,1,1,1,3,9,18,23,8,2,3,2,-,-,33.3,30
S00089282,69,8,5,2,6,-,-,-,1,2,20,18,2,2,2,1,-,34.7,37
S00089283,54,1,2,2,2,-,1,-,4,6,17,8,4,4,3,-,-,39.8,39
S00089284,105,2,2,2,3,1,2,1,4,3,9,35,8,23,10,-,-,50.7,54
S00089285,128,4,-,-,3,-,-,3,14,24,37,23,5,10,4,-,1,38.9,35
S00089286,106,3,1,-,1,-,-,2,31,21,30,13,1,1,1,1,-,30.9,28
S00089287,87,-,-,-,-,-,-,-,-,-,3,9,9,29,23,11,3,71.8,73
S00089288,151,7,4,3,3,1,1,5,28,25,27,14,8,16,6,1,2,36.7,28
S00089289,124,7,4,2,4,1,5,2,9,8,22,27,6,13,12,1,1,42.6,43
S00089290,69,3,3,1,1,-,1,1,6,6,13,13,6,4,9,1,1,44.4,44
S00089291,99,6,2,1,8,2,2,5,6,5,16,19,6,10,7,4,-,41.3,42
S00089292,90,7,1,1,1,1,4,4,7,9,14,16,2,13,6,2,2,42.1,39
S00089293,153,8,3,4,1,4,8,4,26,24,34,26,1,3,6,1,-,32.0,27
S00089294,148,11,2,4,2,2,3,4,26,20,33,28,4,5,2,2,-,33.5,30
S00089295,190,8,6,6,16,6,8,4,17,5,37,38,8,16,15,-,-,38.3,38
S00089296,161,9,2,1,6,4,5,7,18,13,23,32,7,20,10,4,-,40.8,39
S00089297,93,11,7,1,-,-,2,1,8,8,19,18,4,6,4,2,2,37.9,37
S00089298,98,4,1,2,-,-,1,3,14,12,16,20,7,8,7,2,1,42.8,39
S00089299,64,3,3,2,4,-,1,1,3,1,8,11,2,9,9,6,1,49.5,49
S00089300,99,3,3,2,4,2,2,5,11,6,12,23,6,11,8,1,-,41.7,43
S00089301,116,5,3,2,12,1,6,3,5,7,24,18,4,20,4,1,1,39.4,39
S00089302,104,2,3,1,5,3,3,7,15,4,10,23,3,18,7,-,-,41.0,44
S00089303,167,4,3,3,4,-,3,11,26,17,23,33,19,14,6,-,1,39.8,36
S00089304,159,7,5,4,9,-,6,7,19,9,24,32,9,15,12,1,-,39.3,37
S00089305,71,1,-,-,3,-,1,1,5,4,9,11,11,11,6,5,3,54.2,61
S00089306,141,3,2,1,5,2,2,3,27,12,13,18,8,10,24,7,4,47.0,45
S00089307,88,4,2,-,4,2,3,2,8,6,20,17,5,7,8,-,-,41.1,39
S00089308,77,8,4,2,9,1,1,1,7,7,14,13,2,6,2,-,-,31.4,28
S00089309,148,7,5,2,7,2,9,7,19,10,33,23,9,5,8,2,-,35.9,32
S00089310,171,7,5,3,9,5,11,4,22,12,45,16,7,16,9,-,-,35.7,32
S00089311,101,1,-,1,6,1,1,4,7,9,18,21,8,11,11,2,-,45.9,46
S00089312,164,13,2,3,8,-,2,6,11,12,34,34,11,10,15,3,-,40.8,41
S00089313,150,16,3,4,4,-,2,1,3,6,29,28,9,21,22,2,-,45.8,50
S00089314,125,5,-,1,6,-,1,6,12,26,40,15,6,5,1,1,-,34.2,31
S00089315,108,8,5,-,2,1,1,4,3,2,27,30,2,10,8,5,-,43.9,46
S00089316,106,2,7,1,3,-,5,1,2,-,26,28,3,10,16,2,-,47.2,48
S00089317,94,9,3,2,3,-,1,-,2,2,26,21,9,8,6,2,-,42.6,43
S00089318,107,7,2,2,5,1,4,4,7,-,24,24,4,4,18,1,-,42.8,44
S00089319,134,6,2,5,5,-,3,1,11,-,24,32,13,19,11,2,-,45.8,49
S00089320,125,8,6,3,6,1,3,4,7,6,24,34,6,5,10,2,-,39.9,41
S00089321,85,3,6,3,3,-,1,1,-,2,15,16,9,15,11,-,-,47.8,53
S00089322,124,10,6,-,5,2,2,3,5,3,23,26,6,16,11,5,1,44.1,47
S00089323,83,2,3,1,3,1,2,1,3,3,11,18,7,7,17,4,-,51.8,55
S00089324,94,6,1,1,2,2,1,1,2,3,11,14,9,12,22,4,3,54.7,62
S00089325,102,7,4,2,3,2,1,2,2,1,23,28,9,8,9,1,-,43.7,48
S00089326,130,7,4,3,7,1,3,-,4,2,33,25,4,16,18,3,-,46.4,46
S00089327,108,4,4,2,2,1,1,3,5,5,16,24,9,11,17,4,-,48.6,50
S00089328,111,6,2,-,6,-,1,2,2,4,13,17,6,31,16,3,2,52.9,61
S00089329,95,2,3,1,1,-,2,3,1,1,12,24,6,22,10,7,-,54.5,56
S00089330,151,9,3,2,13,3,1,3,5,3,27,42,12,14,12,2,-,43.3,47
S00089331,168,9,6,6,9,2,2,3,7,6,28,30,14,22,20,1,3,45.1,48
S00089332,172,8,4,5,10,2,4,3,7,8,32,42,15,18,12,2,-,42.9,46
S00089333,176,16,6,4,9,2,4,-,7,6,38,36,12,19,15,2,-,41.6,43
S00089334,150,8,1,5,9,-,4,1,3,5,27,39,12,16,9,6,5,47.4,51
S00089335,144,11,6,2,3,2,2,3,7,15,32,31,6,8,12,3,1,40.5,40
S00089336,93,8,2,-,2,1,1,2,3,9,23,14,9,5,9,5,-,43.4,41
S00089337,57,1,-,2,-,1,2,1,2,2,10,17,4,5,7,3,-,49.8,47
S00089338,156,5,4,2,8,2,3,1,9,4,27,37,6,15,22,9,2,48.6,49
S00089339,150,11,2,1,6,-,3,2,7,4,30,29,8,18,25,2,2,47.7,50
S00089340,125,7,4,2,4,-,-,-,3,4,22,18,8,17,27,5,4,53.3,58
S00089341,77,4,2,1,3,-,-,-,2,2,17,15,8,12,7,1,3,49.7,55
S00089342,75,-,-,-,-,-,-,-,1,-,-,3,3,8,24,27,9,80.3,84
S00089343,71,2,2,-,1,-,1,-,6,11,22,13,2,2,8,-,1,40.9,37
S00089344,70,4,1,2,8,-,2,1,3,3,16,15,4,5,4,2,-,40.1,42
S00089345,98,8,-,-,1,-,-,-,13,21,19,14,8,2,7,1,4,39.6,33
S00089346,145,7,6,1,3,1,1,1,9,10,22,36,13,20,12,3,-,46.3,51
S00089347,108,3,3,3,10,2,3,-,3,4,19,27,6,15,9,-,1,44.5,46
S00089348,92,1,-,-,2,1,5,2,4,4,11,25,9,20,7,-,1,49.8,52
S00089349,97,4,1,-,3,1,4,4,3,1,16,22,13,10,11,4,-,49.2,52
S00089350,123,6,5,3,7,-,4,3,9,5,20,31,7,13,5,4,1,41.7,43
S00089351,175,16,10,4,14,-,3,4,5,7,49,38,4,7,10,3,1,35.9,36
S00089352,158,7,4,6,8,-,2,6,8,6,27,35,20,14,12,1,2,44.2,47
S00089353,111,4,3,1,3,-,-,1,7,2,22,31,9,12,11,3,2,49.6,53
S00089354,89,5,3,1,5,3,1,1,2,7,15,20,1,5,18,2,-,44.7,46
S00089355,165,10,8,4,13,5,3,3,8,4,33,44,6,13,9,2,-,38.8,43
S00089356,61,3,-,-,1,1,1,1,12,3,10,15,4,7,3,-,-,41.0,41
S00089357,118,3,2,4,7,2,2,4,18,7,24,24,2,9,9,1,-,38.0,35
S00089358,85,-,1,1,8,1,2,2,11,2,15,19,5,9,8,1,-,43.9,43
S00089359,129,8,2,3,12,1,5,4,7,8,17,25,7,16,12,1,1,41.1,42
S00089360,113,7,1,-,3,-,2,1,8,10,23,29,6,9,13,1,-,44.4,45
S00089361,151,3,3,2,10,1,9,2,8,5,23,31,11,18,15,4,6,47.3,48
S00089362,134,8,3,3,3,1,1,1,2,4,15,4,7,12,29,20,21,62.4,76
S00089363,60,2,3,1,-,-,2,1,5,2,13,18,7,4,1,-,1,42.8,46
S00089364,96,3,-,1,-,-,-,3,22,24,20,12,5,4,2,-,-,33.6,28
S00089365,132,13,4,1,-,-,-,1,23,40,37,9,2,2,-,-,-,27.6,28
S00089366,105,3,3,1,1,-,-,4,29,19,26,12,3,1,2,1,-,31.2,27
S00089367,102,2,2,1,6,1,3,3,6,8,19,22,8,8,9,1,3,44.8,45
S00089368,58,2,1,-,-,-,-,3,12,10,13,12,3,-,1,1,-,35.1,31
S00089369,120,10,1,2,2,-,-,9,19,26,36,8,1,2,3,1,-,29.7,28
S00089370,107,2,1,-,-,-,-,2,10,11,21,12,7,13,19,6,3,52.5,53
S00089371,123,2,1,2,1,1,1,2,12,13,20,30,14,9,11,4,-,46.6,49
S00089372,63,4,-,-,1,-,-,-,12,8,8,4,5,10,9,1,1,45.7,38
S00089373,97,3,1,-,2,-,1,2,16,13,27,20,4,2,5,1,-,37.7,33
S00089374,97,3,2,1,1,-,-,-,2,3,20,10,4,9,17,14,11,61.1,69
S00089375,137,6,3,-,7,-,2,-,1,4,30,21,8,21,27,5,2,52.6,53
S00089376,135,6,2,2,5,-,1,1,3,2,22,19,13,26,30,3,-,54.1,61
S00089377,82,6,3,1,2,-,2,1,-,3,14,13,8,14,14,1,-,49.8,56
S00089378,103,8,1,-,6,3,2,4,4,2,18,21,7,14,11,2,-,44.6,47
S00089379,169,3,3,2,8,2,-,3,7,5,18,42,21,25,24,5,1,51.9,56
S00089380,156,5,6,6,8,-,7,2,8,6,29,36,8,15,15,5,-,43.6,46
S00089381,108,5,5,1,1,1,3,1,5,7,11,22,8,17,18,2,1,49.8,52
S00089382,126,8,2,4,3,1,2,1,1,4,25,15,13,19,22,5,1,50.4,58
S00089383,108,4,1,3,6,-,1,1,2,2,19,31,8,17,10,1,2,49.2,53
S00089384,106,5,4,3,4,3,4,2,4,-,24,24,14,7,6,2,-,42.1,45
S00089385,189,10,2,2,1,-,2,1,9,14,18,29,15,16,32,23,15,58.0,60
S00089386,208,7,1,2,3,2,5,5,8,2,28,54,28,20,23,11,9,53.9,56
S00089387,158,8,4,1,3,2,6,2,5,6,16,33,20,23,19,9,1,51.5,57
S00089388,159,11,6,8,9,1,8,6,9,4,31,38,10,10,6,1,1,36.9,40
S00089389,98,2,1,-,5,2,3,2,5,4,11,14,12,22,13,1,1,51.4,58
S00089390,93,2,5,6,5,1,1,2,2,8,16,16,6,11,9,3,-,43.4,43
S00089391,101,3,-,1,3,1,1,1,5,10,22,22,10,6,13,3,-,46.9,46
S00089392,85,11,4,2,2,-,-,5,11,5,11,13,1,7,10,3,-,37.8,32
S00089393,86,5,5,1,2,3,2,-,2,9,27,6,2,12,9,1,-,40.6,38
S00089394,68,5,2,1,-,2,1,2,-,-,10,7,2,13,16,6,1,55.0,67
S00089395,111,5,1,-,3,1,2,2,5,10,14,22,6,20,15,4,1,49.4,50
S00089396,72,-,-,-,-,1,-,-,2,2,18,18,8,13,6,2,2,54.2,54
S00089397,101,4,4,1,3,1,2,3,8,7,20,20,7,12,7,2,-,42.9,43
S00089398,96,2,-,2,2,-,-,1,5,3,6,24,19,14,16,2,-,55.3,61
S00089399,51,-,-,-,-,-,-,-,-,-,1,-,3,8,23,11,5,79.3,81
S00089400,98,5,6,1,4,1,1,1,2,3,27,22,8,10,5,2,-,42.6,44
S00089401,73,1,3,-,2,-,1,3,7,-,15,11,5,12,7,6,-,49.4,51
S00089402,84,4,3,-,3,-,-,-,4,10,18,11,5,16,4,3,3,46.8,44
S00089403,98,3,3,2,4,3,5,3,3,3,15,26,9,15,3,1,-,43.4,48
S00089404,95,5,1,-,3,1,2,5,3,2,8,25,8,18,13,-,1,50.4,56
S00089405,112,7,5,5,8,-,3,-,4,5,22,27,3,13,7,2,1,41.0,43
S00089406,145,6,4,4,13,4,7,6,5,3,16,44,15,13,5,-,-,40.0,46
S00089407,128,8,4,-,9,1,5,5,9,2,27,20,7,13,12,5,1,42.7,41
S00089408,104,5,5,1,9,1,3,2,6,4,25,16,10,14,2,-,1,39.3,41
S00089409,117,7,2,2,9,2,1,4,4,4,27,25,9,13,8,-,-,41.7,43
S00089410,121,1,6,7,12,2,4,5,9,3,16,39,7,8,2,-,-,37.5,41
S00089411,98,5,4,1,8,4,3,3,9,3,14,27,6,8,3,-,-,37.2,37
S00089412,190,7,6,5,15,1,6,1,5,5,26,37,15,27,32,2,-,48.3,51
S00089413,188,9,6,6,20,4,8,2,5,6,26,58,15,16,7,-,-,39.7,46
S00089414,63,3,1,-,5,-,1,-,-,-,13,19,3,7,7,3,1,50.4,53
S00089415,97,4,4,3,5,-,-,2,7,7,18,26,3,11,4,2,1,41.6,44
S00089416,151,10,6,3,17,4,4,5,5,2,29,38,13,10,4,1,-,37.1,42
S00089417,133,8,4,-,6,1,8,3,8,2,19,35,9,16,11,3,-,44.0,47
S00089418,149,6,6,2,19,2,6,-,4,1,21,34,11,18,17,2,-,44.1,47
S00089419,118,6,6,2,6,3,4,2,5,13,21,25,7,12,4,2,-,38.8,37
S00089420,142,7,2,2,9,1,6,1,9,2,23,48,7,14,9,2,-,43.2,46
S00089421,171,20,10,3,12,4,4,1,2,8,54,29,5,9,7,2,1,34.7,35
S00089422,88,2,3,1,3,1,-,-,3,2,14,27,7,12,8,5,-,51.0,54
S00089423,163,11,6,3,14,5,3,4,5,1,34,44,8,16,9,-,-,40.1,43
S00089424,144,13,8,5,4,2,6,5,7,2,24,32,13,13,10,-,-,39.4,41
S00089425,183,13,4,3,10,7,7,4,9,7,35,60,12,12,-,-,-,37.4,44
S00089426,189,20,12,14,17,2,2,1,5,9,71,28,7,1,-,-,-,28.9,34
S00089427,79,4,3,2,5,1,4,-,4,4,10,22,6,7,5,-,2,42.6,48
S00089428,83,6,2,2,6,1,2,1,7,9,22,9,2,5,8,1,-,36.5,34
S00089429,135,8,5,5,15,1,4,1,8,3,23,31,3,7,13,5,3,41.2,43
S00089430,126,7,6,1,3,1,-,1,2,3,23,18,10,21,20,8,2,52.9,58
S00089431,138,4,4,-,5,3,1,2,6,5,15,17,1,10,35,17,13,59.2,73
S00089432,61,3,2,1,5,1,1,-,1,3,12,13,7,7,3,1,1,44.2,48
S00089433,74,3,2,-,1,-,-,3,6,7,18,14,4,4,10,1,1,45.0,40
S00089434,80,3,4,1,5,3,2,1,9,2,11,24,4,5,6,-,-,39.4,44
S00089435,120,3,2,2,12,4,6,3,2,1,21,30,7,18,9,-,-,43.4,46
S00089436,117,3,5,2,9,4,3,2,2,3,20,33,3,20,8,-,-,44.0,48
S00089437,142,6,6,2,10,2,2,2,7,5,14,41,17,15,11,1,1,44.8,50
S00089438,154,8,8,2,17,1,3,2,3,5,21,42,18,13,6,5,-,42.4,47
S00089439,112,1,2,2,6,4,7,-,4,4,9,39,13,10,8,3,-,47.1,53
S00089440,59,1,3,4,3,4,1,1,1,-,11,16,4,4,6,-,-,41.8,45
S00089441,83,7,-,1,5,1,3,2,5,8,23,13,5,7,2,-,1,36.9,36
S00089442,106,2,1,-,2,-,2,1,8,4,16,31,17,11,8,1,2,50.7,55
S00089443,63,4,-,-,1,-,1,-,4,7,21,12,5,-,7,1,-,42.0,39
S00089444,132,2,1,-,-,-,-,14,45,34,25,7,4,-,-,-,-,27.7,25
S00089445,145,7,1,-,-,-,1,11,53,35,25,10,-,1,1,-,-,26.4,24
S00089446,109,2,2,-,-,1,2,12,41,21,24,4,-,-,-,-,-,25.3,23
S00089447,92,7,-,-,-,1,-,5,23,20,30,3,3,-,-,-,-,27.8,27
S00089448,104,3,3,1,2,-,1,11,23,26,28,6,-,-,-,-,-,26.3,26
S00089449,141,1,1,1,2,1,3,7,33,35,32,20,1,4,-,-,-,31.6,28
S00089450,94,10,1,1,6,1,6,1,8,13,24,15,3,5,-,-,-,31.8,30
S00089451,91,3,1,1,5,1,-,2,6,10,13,9,3,9,17,9,2,50.5,52
S00089452,99,2,1,1,-,-,1,1,6,7,16,19,15,14,12,4,-,52.1,56
S00089453,110,3,-,-,-,-,2,4,25,24,26,23,1,2,-,-,-,33.2,28
S00089454,76,-,-,-,1,-,-,2,9,10,12,18,5,12,6,-,1,47.1,49
S00089455,93,2,2,1,2,1,-,-,6,12,21,13,9,7,8,6,3,47.6,44
S00089456,128,6,2,-,1,-,-,3,25,20,32,15,3,11,9,1,-,38.1,32
S00089457,85,1,-,-,-,-,-,4,33,18,13,10,4,-,1,1,-,31.2,25
S00089458,79,5,-,1,2,-,-,1,21,17,20,11,1,-,-,-,-,29.4,28
S00089459,61,1,1,-,-,-,-,-,18,11,20,6,3,1,-,-,-,32.5,29
S00089460,84,-,-,-,-,-,-,-,-,2,1,4,11,19,30,13,4,74.3,76
S00089461,104,1,-,-,-,-,1,-,20,18,22,27,5,4,6,-,-,40.8,33
S00089462,87,-,-,-,-,-,-,2,27,19,24,14,-,-,-,1,-,32.2,28
S00089463,132,1,4,3,1,2,3,12,33,22,28,10,3,5,4,1,-,31.1,25
S00089464,133,3,1,-,-,1,2,5,39,33,24,18,2,5,-,-,-,31.3,27
S00089465,84,3,-,-,-,-,-,5,17,23,28,3,2,2,1,-,-,30.7,29
S00089466,98,2,-,-,-,-,1,4,16,13,12,11,4,1,16,8,10,51.7,48
S00089467,82,2,-,1,2,1,1,3,21,14,23,8,6,-,-,-,-,31.4,29
S00089468,68,5,1,1,1,-,4,4,10,9,18,13,1,1,-,-,-,30.8,29
S00089469,114,9,5,1,1,1,-,20,29,14,24,10,-,-,-,-,-,24.4,22
S00089470,72,1,-,-,1,-,-,4,24,20,15,4,1,2,-,-,-,28.7,25
S00089471,73,4,2,2,-,-,-,3,8,17,20,13,4,-,-,-,-,32.1,30
S00089472,83,4,3,-,8,1,2,2,10,8,24,9,8,2,2,-,-,33.6,32
S00089473,94,3,1,-,-,-,1,1,14,20,35,12,4,1,2,-,-,34.4,32
S00089474,129,1,-,1,-,1,3,4,41,33,24,18,1,2,-,-,-,30.7,27
S00089475,70,1,2,2,-,1,-,1,11,19,11,14,3,4,1,-,-,34.8,28
S00089476,59,1,-,1,-,-,3,3,8,15,12,11,2,1,1,1,-,34.4,29
S00089477,104,1,2,-,-,-,-,6,44,17,20,9,1,2,1,1,-,29.5,24
S00089478,100,2,1,-,1,-,-,6,55,9,13,6,3,1,1,-,2,28.0,22
S00089479,71,3,-,-,-,-,-,4,25,15,15,4,3,2,-,-,-,29.4,25
S00089480,68,2,-,-,-,-,-,-,28,17,10,7,-,3,-,-,1,30.2,26
S00089481,123,2,-,-,1,-,-,6,68,24,16,6,-,-,-,-,-,25.0,23
S00089482,72,2,-,-,-,-,-,3,15,25,17,5,2,3,-,-,-,31.0,27
S00089483,87,2,1,-,-,-,-,4,35,14,20,6,1,3,1,-,-,29.3,25
S00089484,109,3,-,-,1,-,1,4,18,14,16,18,10,12,10,2,-,44.7,39
S00089485,68,2,-,-,-,-,-,1,18,16,27,2,2,-,-,-,-,29.7,29
S00089486,101,1,-,1,-,-,-,-,4,15,9,12,14,17,21,4,3,57.4,62
S00089487,80,5,-,-,-,-,-,1,4,14,10,9,11,7,13,4,2,51.3,57
S00089488,122,2,-,-,-,-,-,8,41,17,17,8,7,8,12,1,1,38.1,28
S00089489,131,2,1,-,-,-,1,8,52,25,26,11,2,2,1,-,-,28.7,25
S00089490,250,2,1,1,3,1,-,94,60,37,21,20,4,-,4,2,-,26.3,21
S00089491,109,1,-,-,-,-,1,10,44,17,20,14,1,-,-,-,1,29.6,24
S00089492,71,2,-,-,-,-,-,1,9,10,14,14,7,10,3,1,-,45.6,44
S00089493,74,1,-,-,2,-,1,7,13,5,13,11,-,10,8,3,-,43.2,34
S00089494,74,2,-,-,-,-,-,-,1,6,12,20,10,14,8,-,1,54.1,56
S00089495,69,7,-,-,-,-,-,2,15,3,16,10,3,7,6,-,-,38.8,31
S00089496,68,1,-,-,-,-,-,1,8,6,16,17,4,8,7,-,-,47.1,47
S00089497,213,8,2,-,3,-,1,14,97,26,26,16,3,9,6,2,-,29.7,23
S00089498,124,12,2,1,5,-,2,3,14,28,25,19,6,4,3,-,-,32.3,29
S00089499,71,6,3,3,7,-,-,1,6,10,13,8,8,4,1,-,1,33.9,29
S00089500,91,6,2,5,2,-,1,3,16,6,18,15,3,8,4,1,1,36.6,32
S00089501,146,9,5,-,9,2,3,3,19,14,40,34,3,5,-,-,-,33.1,33
S00089502,135,15,1,2,4,1,4,6,12,14,38,19,4,11,3,1,-,33.9,32
S00089503,62,-,-,-,-,-,-,-,-,-,-,2,10,22,21,5,2,73.3,73
S00089504,59,-,-,-,-,-,-,-,-,-,2,3,10,20,18,4,2,71.1,71
S00089505,64,-,-,-,-,-,-,-,-,2,1,3,15,13,21,9,-,71.3,74
S00089506,88,4,2,1,5,-,3,1,7,9,22,20,6,7,1,-,-,38.1,38
S00089507,93,10,-,-,6,-,1,2,7,7,25,20,7,3,4,-,1,37.4,38
S00089508,107,2,1,3,4,4,2,3,12,6,24,34,5,3,3,1,-,39.1,40
S00089509,51,5,-,-,-,-,2,-,13,11,10,7,2,1,-,-,-,29.7,26
S00089510,128,9,7,1,9,-,3,3,17,10,40,15,8,5,-,1,-,31.7,31
S00089511,88,7,4,2,5,-,1,3,7,9,25,18,4,2,1,-,-,32.6,32
S00089512,58,4,1,-,-,-,-,4,15,9,12,8,2,3,-,-,-,31.7,29
S00089513,126,7,1,3,8,-,-,4,15,18,25,23,11,6,4,1,-,36.6,34
S00089514,103,9,4,6,11,1,6,4,6,8,21,15,4,5,3,-,-,30.1,28
S00089515,268,15,4,3,2,-,1,78,52,40,36,19,4,7,6,1,-,27.3,22
S00089516,107,2,3,2,3,-,-,-,20,15,22,29,3,1,6,1,-,37.8,36
S00089517,73,1,1,-,2,-,-,4,6,11,14,5,1,17,8,2,1,47.2,38
S00089518,171,7,6,8,9,-,-,4,4,9,38,20,17,21,22,4,2,46.4,45
S00089519,118,3,2,2,4,1,2,1,5,3,24,17,14,18,15,6,1,51.0,58
S00089520,91,4,-,1,2,1,1,1,6,4,13,23,12,14,4,3,2,49.3,52
S00089521,131,4,3,1,6,-,1,2,4,3,19,21,24,21,19,1,2,52.4,60
S00089522,116,4,2,1,7,-,5,-,14,9,18,26,12,7,7,4,-,41.7,43
S00089523,101,7,3,1,3,-,2,3,13,5,21,22,3,6,11,1,-,39.7,38
S00089524,99,3,3,1,3,1,1,-,8,14,13,22,6,13,8,2,1,45.1,46
S00089525,78,5,2,-,3,1,-,1,7,4,15,14,5,12,7,2,-,45.7,50
S00089526,109,5,-,3,5,-,1,-,3,8,10,4,7,25,26,10,2,57.8,69
S00089527,107,-,-,-,2,-,-,-,3,1,10,19,8,19,34,6,5,65.5,70
S00089528,91,3,-,-,-,-,-,2,10,13,12,26,5,10,6,2,2,46.9,47
S00089529,118,6,1,2,2,2,2,3,7,12,24,21,10,9,16,1,-,44.4,43
S00089530,67,3,2,-,2,-,-,2,12,9,15,7,4,6,2,2,1,38.3,31
S00089531,82,5,2,3,-,-,2,1,7,12,13,18,7,6,3,2,1,40.3,38
S00089532,110,8,2,2,1,-,2,2,8,9,27,17,14,11,6,1,-,41.4,40
S00089533,79,5,2,1,4,1,1,-,5,5,23,17,4,4,6,-,1,40.0,38
S00089534,120,7,2,2,1,-,2,4,12,10,21,26,4,16,12,1,-,43.4,44
S00089535,86,9,1,1,5,-,1,2,5,7,22,15,4,8,5,-,1,38.5,35
S00089536,114,5,5,5,4,-,3,6,7,12,22,21,8,11,4,1,-,38.3,38
S00089537,76,7,-,2,-,-,-,2,9,9,18,13,3,6,5,1,1,40.1,38
S00089538,88,5,5,1,4,1,1,1,12,8,14,11,7,9,9,-,-,39.7,37
S00089539,79,11,2,1,2,1,-,3,4,9,25,16,2,1,2,-,-,32.5,32
S00089540,97,5,8,1,7,-,4,1,8,6,26,19,2,6,4,-,-,34.2,32
S00089541,96,12,2,2,1,1,2,3,5,2,25,18,5,12,3,3,-,39.1,38
S00089542,124,9,2,-,1,-,-,1,22,39,38,9,2,1,-,-,-,28.8,28
S00089543,80,3,-,-,4,2,-,-,15,4,24,19,-,3,3,2,1,38.4,36
S00089544,102,8,3,2,6,1,2,3,11,22,24,11,4,3,2,-,-,30.6,29
S00089545,62,-,-,-,-,-,-,-,-,1,-,2,7,11,28,8,5,76.0,78
S00089546,107,8,9,-,3,4,4,3,14,10,19,22,6,3,2,-,-,32.1,28
S00089547,143,7,9,2,7,1,-,2,9,17,45,16,12,9,6,-,1,37.0,36
S00089548,161,8,4,1,3,1,2,4,31,27,42,30,4,2,1,-,1,32.6,29
S00089549,98,5,4,1,-,-,3,2,9,22,17,17,6,7,4,-,1,38.0,34
S00089550,101,8,5,3,1,-,4,5,9,11,19,18,5,5,6,2,-,36.2,33
S00089551,76,-,-,-,-,-,1,-,3,10,20,15,6,8,10,3,-,50.6,50
S00089552,77,6,1,-,1,-,1,1,15,21,20,8,1,2,-,-,-,29.4,28
S00089553,101,3,-,-,-,-,1,-,9,13,16,10,3,10,23,4,9,55.1,51
S00089554,69,4,4,-,2,-,1,2,12,11,13,14,1,1,3,-,1,33.3,28
S00089555,141,8,2,1,2,1,1,4,13,13,34,22,8,26,6,-,-,42.6,40
S00089556,80,6,-,-,2,2,1,1,4,4,25,17,6,8,4,-,-,41.6,42
