,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00089144,91,2,2,2,2,2,5,4,1,1,15,31,8,11,3,2,-,45.7,49
S00089145,127,6,5,1,4,2,1,5,8,12,23,28,8,21,2,-,1,40.9,40
S00089146,117,12,3,2,11,-,6,4,7,6,29,17,4,9,6,1,-,34.8,33
S00089147,96,11,4,4,1,2,4,1,6,11,22,16,3,3,7,-,1,34.8,32
S00089148,123,9,4,5,13,1,3,4,12,6,24,20,8,8,5,1,-,34.5,33
S00089149,124,13,6,4,10,1,8,3,6,19,28,22,2,2,-,-,-,28.0,27
S00089150,151,16,5,6,4,1,4,1,7,13,36,26,5,11,10,5,1,38.0,35
S00089151,61,5,1,1,4,-,-,1,3,7,13,9,5,5,7,-,-,41.1,38
S00089152,54,1,-,-,-,-,-,-,2,9,7,12,7,11,5,-,-,51.4,53
S00089153,63,1,-,1,1,1,1,-,2,3,4,16,9,10,11,2,1,55.9,61
S00089154,72,5,2,-,2,-,1,1,7,11,17,12,6,1,3,4,-,39.0,40
S00089155,84,1,-,-,3,1,4,1,4,2,10,24,8,13,12,-,1,51.9,56
S00089156,129,7,-,1,4,1,1,3,4,10,24,29,9,20,15,1,-,47.3,47
S00089157,105,5,5,-,2,-,4,1,6,7,15,23,11,13,11,2,-,46.1,47
S00089158,136,9,4,4,6,2,1,7,10,4,26,30,6,14,12,1,-,40.7,43
S00089159,90,3,-,2,5,-,3,3,4,11,22,16,-,4,11,3,3,43.7,41
S00089160,112,5,2,2,3,2,5,7,8,4,16,25,5,9,16,2,1,44.7,47
S00089161,95,1,2,2,3,1,2,4,6,7,14,29,2,13,7,2,-,45.2,49
S00089162,77,5,3,2,5,-,3,1,2,7,16,15,5,7,6,-,-,38.7,35
S00089163,115,6,2,2,11,2,2,5,9,6,22,27,8,5,6,2,-,38.5,41
S00089164,78,1,1,2,5,-,1,2,2,6,10,20,5,7,12,2,2,49.5,50
S00089165,105,5,4,2,1,1,2,1,6,12,15,24,7,6,17,2,-,45.2,49
S00089166,150,12,5,8,5,1,2,3,8,14,27,26,5,13,18,2,1,40.5,37
S00089167,107,3,1,1,7,-,-,7,10,10,17,26,7,8,8,1,1,41.9,44
S00089168,64,-,-,-,-,-,-,-,-,1,-,2,1,9,26,18,7,79.3,82
S00089169,117,8,6,2,11,1,5,1,7,8,18,27,7,12,4,-,-,36.9,38
