,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S00089195,101,31,4,27,30,11,5,5,5,2,3,3,-,9
S00089196,89,27,7,20,18,13,7,6,8,3,2,-,2,5
S00089197,90,27,1,26,25,14,6,2,5,2,3,2,1,6
S00089198,66,17,3,14,23,7,4,1,10,2,-,-,-,2
S00089199,70,11,1,10,12,6,16,9,3,1,3,1,2,9
S00089200,48,7,-,7,24,5,3,1,4,-,-,-,-,4
S00089201,69,23,3,20,15,9,2,2,4,2,1,1,-,11
S00089202,118,21,3,18,33,21,10,6,10,8,1,1,-,8
S00089203,165,33,6,27,42,15,5,11,18,10,13,7,6,18
S00089204,101,37,7,30,27,7,3,4,3,4,1,1,-,15
S00089205,93,24,7,17,27,7,7,5,10,2,2,1,1,9
S00089206,86,36,4,32,24,1,5,3,5,-,-,-,-,12
S00089207,73,28,3,25,10,10,3,4,7,2,2,1,1,7
S00089208,69,13,-,13,14,15,5,3,2,5,-,-,-,12
S00089209,66,16,1,15,21,6,2,8,3,3,1,-,1,6
S00089210,73,10,1,9,17,10,-,6,5,4,1,-,1,20
S00089211,67,11,1,10,15,7,3,2,9,3,3,1,2,14
S00089212,99,11,1,10,21,12,5,12,4,5,2,2,-,27
S00089213,63,11,1,10,22,7,1,2,2,4,-,-,-,14
S00089214,60,8,1,7,17,8,-,8,4,4,2,-,2,9
S00089215,56,7,1,6,10,6,5,5,7,1,1,1,-,14
S00089216,93,19,3,16,18,14,1,8,11,3,2,2,-,17
S00089217,71,10,-,10,10,12,-,7,13,5,2,2,-,12
S00089218,117,16,-,16,26,8,2,6,13,21,2,-,2,23
S00089219,76,15,-,15,19,4,-,6,12,3,-,-,-,17
S00089220,59,16,-,16,10,6,1,5,3,2,5,3,2,11
S00089221,133,25,1,24,36,14,3,8,15,6,9,9,-,17
S00089222,80,19,-,19,17,17,2,3,12,2,1,-,1,7
S00089223,60,14,2,12,18,4,-,7,5,1,1,1,-,10
S00089224,120,17,4,13,28,16,3,10,19,11,5,3,2,11
S00089225,55,14,1,13,12,8,1,4,2,3,2,1,1,9
S00089226,52,15,1,14,14,6,1,4,5,3,-,-,-,4
S00089227,118,17,-,17,27,20,2,9,15,6,3,1,2,19
S00089228,70,17,2,15,23,5,4,6,7,2,1,1,-,5
S00089229,79,17,2,15,28,13,4,2,4,2,1,1,-,8
S00089230,85,20,3,17,24,9,2,3,7,7,4,3,1,9
S00089231,79,14,1,13,20,12,2,11,9,2,-,-,-,9
S00089232,73,15,1,14,21,10,8,3,7,-,2,1,1,7
S00089233,63,22,2,20,16,8,6,4,1,2,-,-,-,4
S00089234,74,17,2,15,22,11,7,3,5,2,2,1,1,5
S00089235,98,12,-,12,34,16,3,4,3,6,5,-,5,15
S00089236,77,10,1,9,28,6,3,8,9,7,1,1,-,5
S00089237,88,24,3,21,38,10,3,2,3,4,-,-,-,4
S00089238,109,24,5,19,35,12,6,8,12,2,2,2,-,8
S00089239,79,26,6,20,21,9,4,3,4,4,-,-,-,8
S00089240,133,28,11,17,53,18,7,4,7,4,1,-,1,11
S00089241,42,8,1,7,10,8,5,1,5,3,1,1,-,1
S00089242,94,24,1,23,28,8,7,4,6,4,2,1,1,11
S00089243,89,18,5,13,28,10,3,6,12,1,1,1,-,10
S00089244,80,19,5,14,31,16,1,1,9,2,-,-,-,1
S00089245,64,9,2,7,22,13,7,3,6,2,1,1,-,1
S00089246,70,20,3,17,13,12,6,2,5,-,2,1,1,10
S00089247,120,23,3,20,38,15,15,4,5,10,1,1,-,9
S00089248,167,25,4,21,46,23,12,5,16,5,7,5,2,28
S00089249,81,28,6,22,22,9,6,2,6,2,1,1,-,5
S00089250,66,16,3,13,25,5,9,4,1,2,1,1,-,3
S00089251,81,21,3,18,20,8,9,4,3,1,1,-,1,14
S00089252,83,23,3,20,28,5,8,5,6,2,-,-,-,6
S00089253,93,14,2,12,28,14,8,4,9,3,1,-,1,12
S00089254,99,23,7,16,33,17,5,7,4,2,2,2,-,6
S00089255,100,15,3,12,38,11,7,11,5,2,2,2,-,9
S00089256,82,15,2,13,24,9,5,8,9,7,1,1,-,4
S00089257,80,19,4,15,32,5,2,3,5,4,-,-,-,10
S00089258,85,24,6,18,15,13,2,6,7,2,2,-,2,14
S00089259,66,16,4,12,13,6,5,6,12,1,2,2,-,5
S00089260,100,32,6,26,36,12,4,2,8,1,2,1,1,3
S00089261,127,33,5,28,37,13,7,7,10,3,5,1,4,12
S00089262,91,21,3,18,24,12,1,5,6,2,1,1,-,19
S00089263,87,12,2,10,29,10,3,9,6,8,3,1,2,7
S00089264,119,30,5,25,31,17,5,11,9,3,-,-,-,13
S00089265,80,12,2,10,22,10,1,1,8,5,3,2,1,18
S00089266,85,8,1,7,36,12,4,6,9,4,1,1,-,5
S00089267,79,11,-,11,11,10,3,6,9,5,1,-,1,23
S00089268,100,25,-,25,26,13,3,4,12,4,4,3,1,9
S00089269,88,15,2,13,28,14,2,10,6,4,2,-,2,7
S00089270,109,18,2,16,36,16,4,8,10,8,-,-,-,9
S00089271,66,16,2,14,24,8,5,2,2,2,1,1,-,6
S00089272,54,8,1,7,22,5,4,3,7,2,-,-,-,3
S00089273,92,15,1,14,23,20,-,7,10,4,-,-,-,13
S00089274,115,28,6,22,26,13,9,10,12,4,1,-,1,12
S00089275,19,-,-,-,1,4,-,3,4,6,1,1,-,-
S00089276,56,4,1,3,12,7,4,5,10,6,1,-,1,7
S00089277,126,24,5,19,30,18,14,10,13,5,3,1,2,9
