,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S00089316,75,21,2,19,15,16,4,3,5,4,1,1,-,6
S00089317,69,21,4,17,23,8,3,1,7,3,2,1,1,1
S00089318,71,16,5,11,19,9,2,5,8,4,3,3,-,5
S00089319,103,18,4,14,30,19,7,7,13,4,-,-,-,5
S00089320,89,19,3,16,31,10,1,10,8,2,-,-,-,8
S00089321,59,9,2,7,21,6,3,5,6,3,2,1,1,4
S00089322,84,10,2,8,35,14,6,4,8,2,2,1,1,3
S00089323,52,9,3,6,13,12,6,2,4,2,-,-,-,4
S00089324,53,7,1,6,16,7,3,3,11,3,-,-,-,3
S00089325,74,13,2,11,23,14,5,6,7,2,1,-,1,3
S00089326,87,19,1,18,31,8,5,5,11,2,1,1,-,5
S00089327,74,14,2,12,28,11,5,2,1,5,2,1,1,6
S00089328,76,13,2,11,23,12,6,7,7,5,-,-,-,3
S00089329,71,11,2,9,22,11,7,2,9,2,-,-,-,7
S00089330,107,39,9,30,24,9,8,2,12,3,6,5,1,4
S00089331,112,20,5,15,38,13,11,9,11,2,2,1,1,6
S00089332,129,24,-,24,38,26,10,7,14,4,2,2,-,4
S00089333,122,24,4,20,39,25,7,5,12,2,2,2,-,6
S00089334,107,25,9,16,40,15,7,5,4,4,1,1,-,6
S00089335,104,23,5,18,28,15,7,10,9,5,2,-,2,5
S00089336,66,13,1,12,22,14,2,4,6,3,-,-,-,2
S00089337,43,4,-,4,13,7,1,6,6,2,-,-,-,4
S00089338,102,20,9,11,28,21,9,7,9,3,2,2,-,3
S00089339,101,22,6,16,31,25,5,8,4,1,1,-,1,4
S00089340,72,20,3,17,17,10,7,6,6,3,2,1,1,1
S00089341,56,6,1,5,20,9,6,6,6,1,1,1,-,1
S00089342,15,1,1,-,3,2,3,2,1,3,-,-,-,-
S00089343,57,2,1,1,15,12,3,4,7,5,2,-,2,7
S00089344,49,7,2,5,10,5,2,6,8,4,3,2,1,4
S00089345,77,17,2,15,19,15,1,7,13,1,-,-,-,4
S00089346,112,30,7,23,36,12,9,6,8,4,-,-,-,7
S00089347,77,16,1,15,30,10,5,1,9,4,1,-,1,1
S00089348,80,22,6,16,23,14,1,5,5,2,1,-,1,7
S00089349,73,13,4,9,23,11,6,4,7,1,-,-,-,8
S00089350,92,23,4,19,27,10,2,5,8,2,-,-,-,15
S00089351,117,39,8,31,25,13,10,10,6,2,5,2,3,7
S00089352,118,18,3,15,36,14,5,6,9,14,7,7,-,9
S00089353,84,17,3,14,24,18,4,3,7,6,-,-,-,5
S00089354,52,13,3,10,17,6,2,6,4,1,-,-,-,3
S00089355,114,30,6,24,30,20,7,8,8,1,1,1,-,9
S00089356,53,4,3,1,6,5,1,10,11,9,2,2,-,5
S00089357,90,4,-,4,17,11,7,7,14,11,2,2,-,17
S00089358,65,2,-,2,9,6,4,14,12,5,1,1,-,12
S00089359,89,4,-,4,13,9,4,10,18,16,6,3,3,9
S00089360,88,1,-,1,17,17,7,7,19,14,-,-,-,6
S00089361,107,7,2,5,19,14,6,8,20,17,2,2,-,14
S00089362,46,11,2,9,12,6,2,1,5,2,3,3,-,4
S00089363,52,10,2,8,13,9,3,3,4,5,-,-,-,5
S00089364,90,8,-,8,19,8,2,5,11,5,3,2,1,29
S00089365,114,16,1,15,21,16,1,9,11,6,4,4,-,30
S00089366,94,8,-,8,20,8,3,11,11,4,4,3,1,25
S00089367,77,6,1,5,9,6,8,7,17,11,3,3,-,10
S00089368,53,5,-,5,14,3,2,2,10,1,1,-,1,15
S00089369,101,10,1,9,25,7,2,8,15,7,4,2,2,23
S00089370,76,4,-,4,8,7,6,4,14,17,5,3,2,11
S00089371,101,11,2,9,17,6,8,15,16,10,3,1,2,15
S00089372,47,3,-,3,11,12,1,5,8,4,1,1,-,2
S00089373,85,20,4,16,20,13,2,7,8,3,2,1,1,10
S00089374,48,5,1,4,22,5,6,1,6,-,1,1,-,2
S00089375,87,22,5,17,22,18,5,7,9,1,1,1,-,2
S00089376,87,18,5,13,25,16,4,4,9,7,1,1,-,3
S00089377,55,11,4,7,15,13,4,3,2,4,1,1,-,2
S00089378,72,12,2,10,26,13,3,2,6,-,4,2,2,6
S00089379,121,28,3,25,38,23,11,4,12,1,1,1,-,3
S00089380,111,21,2,19,41,16,7,3,6,3,1,-,1,13
S00089381,74,18,3,15,19,11,5,3,5,-,1,1,-,12
S00089382,80,17,4,13,32,12,4,3,9,-,-,-,-,3
S00089383,81,24,2,22,27,12,7,3,1,4,-,-,-,3
S00089384,79,28,4,24,16,9,3,5,3,5,2,1,1,8
S00089385,104,33,5,28,17,13,13,6,13,6,-,-,-,3
S00089386,150,41,6,35,29,24,16,11,4,2,7,7,-,16
S00089387,111,25,1,24,34,16,7,6,11,3,1,-,1,8
S00089388,116,30,5,25,24,10,13,8,7,4,5,4,1,15
S00089389,73,21,6,15,18,14,-,3,6,6,-,-,-,5
S00089390,62,10,1,9,13,5,5,3,15,6,2,2,-,3
S00089391,77,2,-,2,9,17,7,10,13,15,3,1,2,1
S00089392,53,1,-,1,7,6,-,3,16,13,3,1,2,4
S00089393,60,3,-,3,13,12,2,5,6,16,-,-,-,3
S00089394,35,4,-,4,5,4,1,5,5,8,1,1,-,2
S00089395,81,3,1,2,9,14,3,9,17,19,2,1,1,5
S00089396,61,-,-,-,8,6,4,11,13,16,1,1,-,2
S00089397,79,7,1,6,18,14,10,5,14,4,2,2,-,5
S00089398,72,16,6,10,23,14,5,2,6,2,2,2,-,2
S00089399,12,-,-,-,1,1,2,1,3,4,-,-,-,-
S00089400,74,26,4,22,20,9,2,5,6,4,1,-,1,1
S00089401,54,1,-,1,8,13,-,4,9,12,2,1,1,5
S00089402,64,3,-,3,14,17,-,9,11,7,1,-,1,2
S00089403,79,24,4,20,18,7,9,3,6,-,-,-,-,12
S00089404,71,12,3,9,29,8,8,1,4,1,1,1,-,7
S00089405,77,23,4,19,19,9,8,4,5,2,-,-,-,7
S00089406,109,36,7,29,27,8,5,5,9,2,1,-,1,16
S00089407,88,12,2,10,16,9,9,3,18,4,1,1,-,16
S00089408,80,15,2,13,23,8,7,7,9,2,-,-,-,9
S00089409,87,16,1,15,29,11,5,4,10,3,1,1,-,8
S00089410,91,22,5,17,16,9,11,2,10,2,4,1,3,15
S00089411,73,15,2,13,21,7,6,3,8,5,-,-,-,8
S00089412,122,36,10,26,38,11,7,5,12,1,3,2,1,9
S00089413,136,37,6,31,37,16,11,3,16,3,2,2,-,11
S00089414,43,7,-,7,14,3,4,3,6,4,2,2,-,-
S00089415,74,7,-,7,13,12,6,7,13,10,3,3,-,3
S00089416,106,29,4,25,24,13,9,4,13,3,1,1,-,10
S00089417,100,26,4,22,26,12,5,7,7,1,1,1,-,15
S00089418,95,28,6,22,27,7,4,8,5,-,5,5,-,11
S00089419,89,27,6,21,27,12,2,4,4,2,3,2,1,8
S00089420,110,22,3,19,41,17,4,6,6,2,1,1,-,11
S00089421,112,48,6,42,34,5,4,3,5,1,1,1,-,11
S00089422,65,15,4,11,28,7,4,4,5,-,-,-,-,2
S00089423,115,36,8,28,36,17,5,3,6,4,1,-,1,7
S00089424,102,33,4,29,30,7,5,1,8,3,2,1,1,13
S00089425,146,51,12,39,37,15,15,5,7,2,1,-,1,13
S00089426,124,44,15,29,37,8,15,7,7,-,2,2,-,4
S00089427,57,18,4,14,12,5,2,3,6,3,1,-,1,7
S00089428,57,10,4,6,18,10,7,3,4,-,-,-,-,5
S00089429,80,28,9,19,20,8,5,2,5,3,-,-,-,9
S00089430,78,23,4,19,27,9,2,11,3,-,1,-,1,2
S00089431,57,11,4,7,12,3,4,6,7,2,4,2,2,8
S00089432,44,13,2,11,6,12,5,-,1,4,2,2,-,1
S00089433,56,9,-,9,22,7,6,-,7,1,2,1,1,2
S00089434,58,19,4,15,9,12,4,2,4,1,-,-,-,7
S00089435,88,31,5,26,26,9,8,1,2,-,1,-,1,10
S00089436,86,29,3,26,26,9,4,2,7,4,1,1,-,4
S00089437,103,36,7,29,25,12,10,3,7,1,1,1,-,8
S00089438,107,24,5,19,35,19,9,4,7,3,-,-,-,6
S00089439,86,26,7,19,19,12,6,2,9,1,1,1,-,10
S00089440,38,9,4,5,11,1,7,2,5,-,2,2,-,1
S00089441,66,1,-,1,6,2,5,8,17,16,1,-,1,10
S00089442,90,19,-,19,26,7,3,7,15,4,1,-,1,8
S00089443,50,19,4,15,9,5,1,3,5,1,1,1,-,6
S00089444,129,24,3,21,27,15,2,8,6,2,1,1,-,44
S00089445,136,23,4,19,27,17,1,7,12,4,1,1,-,44
S00089446,104,10,-,10,16,7,1,5,6,2,1,-,1,56
S00089447,84,20,2,18,16,7,3,6,2,2,2,1,1,26
S00089448,95,17,3,14,23,11,2,6,4,3,1,-,1,28
S00089449,135,16,1,15,32,11,3,10,11,17,3,3,-,32
S00089450,75,2,-,2,6,8,4,10,20,14,5,3,2,6
S00089451,52,4,-,4,9,4,2,5,7,9,4,2,2,8
S00089452,79,3,1,2,10,11,4,5,22,12,5,3,2,7
S00089453,107,9,2,7,15,7,2,14,17,13,5,2,3,25
S00089454,68,6,2,4,8,10,3,7,21,5,6,5,1,2
S00089455,68,4,1,3,8,8,2,7,18,15,5,2,3,1
S00089456,109,10,-,10,20,12,2,7,17,16,4,3,1,21
S00089457,82,11,1,10,15,11,1,2,10,2,2,1,1,28
S00089458,71,8,2,6,17,8,1,8,9,6,2,-,2,12
S00089459,59,6,-,6,12,5,-,3,9,6,3,2,1,15
S00089460,37,-,-,-,5,6,2,5,4,10,4,4,-,1
S00089461,97,-,-,-,21,12,-,9,18,15,6,5,1,16
S00089462,86,8,-,8,10,16,2,6,10,9,1,-,1,24
S00089463,116,14,-,14,18,7,3,10,18,9,1,-,1,36
S00089464,128,11,2,9,25,17,1,9,11,11,2,2,-,41
S00089465,80,15,3,12,23,12,-,3,8,5,-,-,-,14
S00089466,62,13,1,12,12,6,-,3,7,3,-,-,-,18
S00089467,76,16,2,14,10,5,3,7,9,6,4,4,-,16
S00089468,60,6,-,6,11,3,2,1,10,9,2,2,-,16
S00089469,97,8,-,8,10,4,3,6,10,6,4,3,1,46
S00089470,70,13,1,12,13,4,2,7,3,2,1,1,-,25
S00089471,65,9,-,9,14,7,3,2,9,8,2,2,-,11
S00089472,65,3,-,3,9,5,4,7,15,7,4,3,1,11
S00089473,88,14,1,13,21,10,2,11,5,11,3,3,-,11
S00089474,126,7,-,7,13,13,3,14,14,19,17,13,4,26
S00089475,63,5,-,5,13,10,4,4,9,7,1,-,1,10
S00089476,55,4,-,4,10,11,-,4,11,5,-,-,-,10
S00089477,99,6,-,6,15,6,2,5,10,6,-,-,-,49
S00089478,93,3,-,3,8,8,-,9,4,4,-,-,-,57
S00089479,68,8,-,8,13,2,1,1,12,6,2,2,-,23
S00089480,65,3,2,1,9,10,2,2,5,6,2,2,-,26
S00089481,120,17,1,16,20,6,3,4,5,3,3,2,1,59
S00089482,70,8,-,8,12,12,1,6,8,6,-,-,-,17
S00089483,83,8,2,6,13,6,1,3,9,5,-,-,-,38
S00089484,93,6,-,6,6,12,1,9,28,16,3,3,-,12
S00089485,66,7,1,6,10,8,3,3,8,4,1,-,1,22
S00089486,71,5,2,3,12,7,3,8,13,15,2,2,-,6
S00089487,56,2,-,2,11,7,2,3,8,13,2,2,-,8
S00089488,106,7,-,7,11,7,2,7,12,7,4,2,2,49
S00089489,127,21,-,21,9,6,1,4,9,2,1,1,-,74
S00089490,236,9,-,9,29,12,1,11,13,6,-,-,-,155
S00089491,107,11,1,10,22,11,2,2,6,3,2,2,-,48
S00089492,65,4,-,4,8,4,2,8,14,16,3,2,1,6
S00089493,60,2,-,2,7,3,7,7,7,9,2,1,1,16
S00089494,63,3,-,3,7,7,3,13,12,16,-,-,-,2
S00089495,56,2,-,2,6,5,2,4,7,11,3,3,-,16
S00089496,60,2,-,2,7,5,3,9,9,17,1,1,-,7
S00089497,192,19,-,19,19,8,4,8,7,7,2,2,-,118
S00089498,101,5,-,5,12,8,6,6,21,27,6,5,1,10
S00089499,50,1,-,1,4,4,2,6,9,14,7,1,6,3
S00089500,70,5,1,4,9,8,3,-,13,14,2,2,-,16
S00089501,121,3,1,2,9,12,7,11,19,31,11,5,6,18
S00089502,108,4,-,4,12,5,3,16,25,20,6,5,1,17
S00089503,34,2,-,2,2,1,2,2,10,13,2,1,1,-
S00089504,35,-,-,-,3,3,1,5,7,13,2,2,-,1
S00089505,34,-,-,-,-,2,1,4,7,15,5,5,-,-
S00089506,75,4,-,4,13,3,4,10,11,19,5,5,-,6
S00089507,72,8,1,7,9,4,1,10,16,14,6,3,3,4
S00089508,89,1,-,1,7,5,5,10,21,27,4,2,2,9
S00089509,46,3,-,3,10,5,4,5,6,5,2,2,-,6
S00089510,101,2,-,2,6,11,10,7,19,24,7,1,6,15
S00089511,69,4,-,4,4,9,1,11,9,13,9,6,3,9
S00089512,53,1,-,1,5,6,2,9,11,8,1,-,1,10
S00089513,102,6,1,5,8,11,5,17,15,16,3,-,3,21
S00089514,69,3,-,3,3,8,-,1,13,21,6,5,1,14
S00089515,237,15,1,14,16,12,5,7,12,9,3,3,-,158
S00089516,90,14,1,13,11,7,8,5,11,9,3,1,2,22
S00089517,58,3,-,3,11,7,-,5,7,7,4,3,1,14
S00089518,113,8,1,7,9,16,7,12,23,24,6,4,2,8
S00089519,84,11,3,8,24,12,6,9,8,5,4,3,1,5
S00089520,74,10,3,7,15,17,12,6,7,4,-,-,-,3
S00089521,95,4,2,2,18,13,6,13,20,11,1,1,-,9
S00089522,91,16,2,14,26,10,6,2,9,6,1,-,1,15
S00089523,75,3,1,2,8,7,9,3,16,11,3,1,2,15
S00089524,77,7,1,6,18,14,3,4,17,10,2,1,1,2
S00089525,58,2,1,1,13,11,3,6,12,10,-,-,-,1
S00089526,58,1,-,1,5,9,1,11,14,14,-,-,-,3
S00089527,60,4,2,2,12,6,5,2,13,15,3,3,-,-
S00089528,78,3,1,2,14,12,5,7,7,19,4,4,-,7
S00089529,88,6,-,6,18,6,5,7,20,23,1,1,-,2
S00089530,55,6,1,5,15,3,-,9,8,5,1,-,1,8
S00089531,66,6,-,6,12,15,1,8,6,12,1,1,-,5
S00089532,90,5,-,5,19,17,3,8,16,16,1,1,-,5
S00089533,59,4,1,3,12,7,2,6,12,12,1,-,1,3
S00089534,95,2,-,2,15,6,1,14,23,18,9,4,5,7
S00089535,64,11,-,11,8,7,3,8,11,12,2,2,-,2
S00089536,90,3,-,3,9,13,3,13,22,18,2,1,1,7
S00089537,60,1,1,-,11,10,4,4,13,10,1,-,1,6
S00089538,63,1,-,1,8,7,2,7,15,13,2,2,-,8
S00089539,60,5,1,4,10,4,-,7,16,10,4,4,-,4
S00089540,72,3,-,3,14,5,4,5,19,10,5,1,4,7
S00089541,72,2,-,2,9,9,2,8,14,23,1,-,1,4
S00089542,112,13,2,11,39,18,-,14,10,14,-,-,-,4
S00089543,65,-,-,-,6,3,-,14,11,20,4,1,3,7
S00089544,80,4,-,4,9,6,-,7,16,19,8,3,5,11
S00089545,21,1,-,1,2,2,3,2,3,7,-,-,-,1
S00089546,81,2,-,2,11,8,-,7,19,12,7,2,5,15
S00089547,110,4,1,3,23,14,3,15,20,24,2,-,2,5
S00089548,142,7,-,7,35,7,4,19,17,23,13,5,8,17
S00089549,83,6,2,4,10,10,4,5,15,20,6,5,1,7
S00089550,76,1,-,1,9,12,3,14,13,13,3,2,1,8
S00089551,63,1,1,-,11,9,4,6,7,18,4,-,4,3
S00089552,69,11,-,11,7,10,-,12,4,12,5,2,3,8
S00089553,62,5,-,5,20,7,6,4,6,11,-,-,-,3
S00089554,55,5,1,4,8,6,2,2,5,10,7,-,7,10
S00089555,121,4,1,3,30,15,2,14,30,13,1,1,-,12
S00089556,66,9,2,7,11,14,4,8,10,10,-,-,-,-
S00089557,126,9,1,8,19,12,4,15,28,21,3,1,2,15
S00089558,96,12,2,10,19,15,7,9,13,9,3,3,-,9
S00089559,114,11,1,10,26,15,5,12,11,20,4,2,2,10
S00089560,60,12,2,10,10,8,2,8,3,10,-,-,-,7
S00089561,77,3,1,2,10,8,1,10,9,10,11,10,1,15
S00089562,74,7,-,7,14,7,4,4,15,13,2,1,1,8
S00089563,61,6,-,6,10,6,1,6,7,11,3,2,1,11
S00089564,77,7,1,6,13,11,1,8,8,10,2,1,1,17
S00089565,112,15,2,13,23,13,5,5,17,9,4,1,3,21
S00089566,116,15,-,15,30,6,1,12,9,13,2,1,1,28
S00089567,122,4,1,3,11,4,5,16,22,31,10,5,5,19
S00089568,138,5,-,5,18,9,8,8,23,30,8,3,5,29
S00089569,81,4,-,4,9,7,-,4,18,27,6,5,1,6
S00089570,86,3,-,3,9,8,4,11,13,15,11,8,3,12
S00089571,127,13,1,12,23,11,4,11,18,12,2,1,1,33
S00089572,58,6,1,5,19,7,3,1,3,14,-,-,-,5
S00089573,83,7,-,7,14,14,4,8,15,6,2,2,-,13
S00089574,74,3,-,3,9,9,2,3,13,9,1,1,-,25
S00089575,57,7,1,6,14,4,8,4,7,6,1,1,-,6
S00089576,97,16,4,12,22,9,1,12,15,2,1,1,-,19
S00089577,69,2,-,2,6,5,-,10,12,14,5,3,2,15
S00089578,79,2,-,2,9,5,1,8,17,17,3,1,2,17
S00089579,65,1,-,1,7,3,-,3,18,20,2,-,2,11
S00089580,82,3,-,3,3,10,5,6,14,24,10,4,6,7
S00089581,64,3,-,3,7,4,2,8,9,13,7,5,2,11
S00089582,91,1,-,1,5,4,3,11,21,32,2,2,-,12
S00089583,111,5,-,5,20,3,8,11,21,29,11,4,7,3
S00089584,52,2,-,2,3,6,4,8,9,14,3,1,2,3
S00089585,97,6,2,4,22,17,4,9,11,17,4,-,4,7
S00089586,88,-,-,-,2,7,3,9,18,24,6,2,4,19
S00089587,59,3,1,2,4,5,3,7,16,8,1,1,-,12
S00089588,79,1,-,1,13,18,6,8,17,13,-,-,-,3
S00089589,70,7,-,7,24,7,2,5,11,12,-,-,-,2
S00089590,92,12,1,11,18,10,4,11,15,10,-,-,-,12
S00089591,96,2,1,1,15,3,2,8,20,20,7,5,2,19
S00089592,71,3,1,2,9,8,2,5,19,16,6,3,3,3
S00089593,88,2,1,1,11,6,1,11,20,23,10,7,3,4
S00089594,58,1,-,1,3,6,3,5,10,19,4,3,1,7
S00089595,115,4,-,4,12,8,1,7,22,32,6,5,1,23
S00089596,89,7,-,7,19,17,5,12,10,10,-,-,-,9
S00089597,83,2,-,2,3,1,2,7,20,28,12,8,4,8
S00089598,49,1,-,1,5,3,1,6,13,10,4,2,2,6
S00089599,101,5,1,4,10,8,5,8,25,19,8,4,4,13
S00089600,42,-,-,-,3,4,2,5,8,11,2,2,-,7
S00089601,59,2,-,2,9,2,3,6,15,8,1,1,-,13
S00089602,97,2,-,2,8,7,4,9,20,30,12,4,8,5
S00089603,80,2,-,2,7,5,4,8,21,12,5,1,4,16
S00089604,68,-,-,-,11,7,2,12,9,13,3,-,3,11
S00089605,115,4,1,3,13,12,2,9,20,30,7,5,2,18
S00089606,96,3,1,2,9,9,5,5,17,25,3,2,1,20
S00089607,104,21,-,21,8,6,5,3,19,13,3,3,-,26
S00089608,48,2,-,2,5,3,1,3,13,18,2,1,1,1
S00089609,77,2,-,2,6,3,3,14,12,22,9,5,4,6
S00089610,103,3,-,3,10,8,7,13,24,22,8,5,3,8
S00089611,69,-,-,-,10,6,3,7,12,20,6,1,5,5
S00089612,76,1,-,1,8,4,3,5,21,24,6,4,2,4
S00089613,56,4,-,4,2,6,5,2,8,11,1,1,-,17
S00089614,135,3,-,3,14,11,4,18,21,39,7,2,5,18
S00089615,96,-,-,-,13,9,2,9,22,32,8,5,3,1
S00089616,93,1,-,1,6,5,5,14,20,30,7,3,4,5
S00089617,113,2,1,1,4,13,4,15,20,39,4,2,2,12
S00089618,91,2,-,2,10,6,-,10,16,26,9,5,4,12
S00089619,104,2,-,2,8,8,8,10,16,40,8,4,4,4
S00089620,113,1,-,1,6,1,4,14,31,38,8,6,2,10
S00089621,26,-,-,-,-,1,2,7,2,13,1,-,1,-
S00089622,69,3,-,3,9,4,2,6,16,18,2,2,-,9
S00089623,83,1,1,-,6,9,4,12,18,21,4,2,2,8
S00089624,67,7,2,5,9,6,4,3,5,2,1,1,-,30
S00089625,85,13,2,11,16,5,2,7,6,6,4,2,2,26
S00089626,146,14,1,13,12,8,1,5,7,5,1,1,-,93
S00089627,68,5,-,5,5,6,1,5,12,7,-,-,-,27
S00089628,108,8,1,7,15,8,2,9,9,6,3,1,2,48
S00089629,123,6,-,6,12,6,3,15,20,16,8,7,1,37
S00089630,65,4,-,4,6,5,7,10,10,8,5,4,1,10
S00089631,86,1,-,1,5,4,5,12,15,15,4,2,2,25
S00089632,86,2,1,1,11,5,3,10,14,15,6,1,5,20
S00089633,385,9,-,9,20,11,6,8,15,14,12,10,2,290
S00089634,92,12,1,11,20,11,-,5,5,3,2,1,1,34
S00089635,60,3,-,3,7,5,2,7,5,6,-,-,-,25
S00089636,104,13,1,12,20,16,8,5,6,6,-,-,-,30
S00089637,57,10,1,9,7,3,-,7,6,6,-,-,-,18
S00089638,95,9,1,8,13,9,5,4,9,6,-,-,-,40
S00089639,89,12,-,12,14,4,6,7,11,6,2,-,2,27
S00089640,115,12,-,12,28,10,2,5,9,10,-,-,-,39
S00089641,55,5,-,5,10,2,-,4,2,3,-,-,-,29
S00089642,59,8,-,8,10,7,-,3,4,8,3,2,1,16
S00089643,109,5,-,5,12,13,1,9,11,11,2,1,1,45
S00089644,131,8,-,8,14,6,10,19,25,22,5,4,1,22
S00089645,114,5,-,5,5,6,4,13,19,14,15,9,6,33
S00089646,108,4,-,4,17,9,2,6,16,18,5,5,-,31
S00089647,136,16,2,14,7,5,2,6,12,-,3,1,2,85
S00089648,60,6,-,6,12,5,1,3,1,4,1,-,1,27
S00089649,93,5,-,5,14,4,4,8,14,13,3,2,1,28
S00089650,117,11,1,10,12,5,4,5,6,6,4,3,1,64
S00089651,368,37,3,34,17,8,1,7,10,4,6,5,1,278
S00089652,134,12,-,12,14,10,5,5,7,5,-,-,-,76
S00089653,106,16,2,14,13,8,3,3,7,6,3,2,1,47
S00089654,95,5,-,5,7,8,2,3,2,2,5,5,-,61
S00089655,75,4,1,3,8,6,1,2,1,2,-,-,-,51
S00089656,79,16,-,16,6,7,2,2,7,1,2,2,-,36
S00089657,59,9,1,8,10,5,6,3,5,-,3,3,-,18
S00089658,120,6,-,6,19,14,2,10,3,6,2,1,1,58
S00089659,214,5,1,4,12,5,4,5,4,7,1,-,1,171
S00089660,112,2,-,2,11,9,-,7,10,8,2,2,-,63
S00089661,121,12,-,12,15,7,5,11,15,13,9,5,4,34
S00089662,88,9,1,8,12,7,-,5,12,9,-,-,-,34
S00089663,114,11,-,11,11,12,1,8,11,9,4,2,2,47
S00089664,61,1,-,1,5,4,2,11,5,10,5,1,4,18
S00089665,95,10,-,10,23,14,2,4,8,4,1,1,-,29
S00089666,87,16,1,15,18,4,3,2,3,1,3,-,3,37
S00089667,58,8,1,7,11,9,7,4,4,4,3,1,2,8
S00089668,73,3,-,3,7,8,3,10,10,15,3,2,1,14
S00089669,129,12,1,11,15,7,8,3,14,11,6,3,3,53
S00089670,70,1,-,1,8,1,1,2,2,3,3,3,-,49
S00089671,306,10,-,10,14,7,2,5,6,3,1,-,1,258
S00089672,104,5,-,5,10,15,5,14,23,24,4,2,2,4
S00089673,66,2,-,2,7,7,1,8,17,15,3,2,1,6
S00089674,130,16,-,16,20,21,1,6,19,13,2,1,1,32
S00089675,128,28,-,28,29,14,1,3,8,5,3,2,1,37
S00089676,65,4,-,4,11,7,4,2,13,7,2,2,-,15
S00089677,114,11,-,11,19,12,4,9,13,13,1,-,1,32
S00089678,60,1,-,1,15,2,3,4,6,6,-,-,-,23
S00089679,123,6,-,6,17,11,3,13,14,15,4,1,3,40
S00089680,113,9,-,9,17,4,2,8,14,11,3,3,-,45
S00089681,136,11,2,9,22,9,5,6,11,10,3,2,1,59
S00089682,58,4,-,4,11,7,3,3,8,3,-,-,-,19
S00089683,74,8,-,8,14,12,2,6,7,2,-,-,-,23
S00089684,68,12,-,12,18,11,2,10,3,5,1,1,-,6
S00089685,109,12,-,12,16,9,-,6,15,12,1,1,-,38
S00089686,57,2,1,1,12,4,2,4,3,3,-,-,-,27
S00089687,71,11,3,8,8,7,1,7,11,6,-,-,-,20
S00089688,82,4,-,4,12,9,3,12,6,7,2,-,2,27
S00089689,51,4,1,3,10,8,2,7,8,7,-,-,-,5
S00089690,128,21,3,18,32,8,5,12,14,9,-,-,-,27
S00089691,100,15,4,11,19,9,8,5,15,11,6,3,3,12
S00089692,48,13,2,11,9,4,-,3,6,1,2,2,-,10
S00089693,55,6,1,5,13,4,4,5,4,3,-,-,-,16
S00089694,101,24,2,22,27,12,5,5,3,1,2,1,1,22
S00089695,97,18,4,14,32,12,7,3,5,2,1,1,-,17
S00089696,123,24,1,23,30,19,7,3,9,8,3,1,2,20
S00089697,66,17,2,15,10,9,4,5,5,2,-,-,-,14
S00089698,90,17,2,15,21,13,5,1,8,3,-,-,-,22
S00089699,65,8,-,8,12,7,-,5,5,3,1,-,1,24
S00089700,97,24,3,21,21,9,2,3,8,5,-,-,-,25
S00089701,68,18,-,18,16,2,2,1,14,2,-,-,-,13
S00089702,66,7,-,7,10,9,1,4,5,5,-,-,-,25
S00089703,105,37,9,28,29,11,3,6,9,1,-,-,-,9
S00089704,86,30,5,25,25,9,5,2,6,3,-,-,-,6
S00089705,90,22,3,19,25,10,4,4,8,9,-,-,-,8
S00089706,94,34,5,29,25,6,7,2,4,3,1,1,-,12
S00089707,82,3,-,3,11,10,4,11,16,12,11,11,-,4
S00089708,44,4,-,4,10,11,1,5,8,4,-,-,-,1
S00089709,67,16,2,14,26,7,5,1,3,2,-,-,-,7
S00089710,97,8,-,8,23,14,3,9,21,12,2,-,2,5
S00089711,97,8,1,7,19,16,2,7,22,7,5,3,2,11
S00089712,86,19,3,16,26,10,9,3,7,3,-,-,-,9
S00089713,80,20,3,17,26,13,6,3,4,3,-,-,-,5
S00089714,118,31,5,26,29,15,11,5,7,6,1,-,1,13
S00089715,69,24,4,20,21,5,5,1,6,1,-,-,-,6
S00089716,39,8,3,5,9,5,1,2,4,7,2,2,-,1
S00089717,85,30,3,27,28,8,3,1,4,-,2,2,-,9
S00089718,118,33,3,30,34,12,12,3,6,1,1,1,-,16
S00089719,132,40,3,37,40,12,5,4,11,3,1,1,-,16
S00089720,124,38,10,28,31,14,8,3,7,6,5,3,2,12
S00089721,123,46,4,42,26,15,6,4,11,3,6,4,2,6
S00089722,77,24,2,22,29,5,1,5,-,-,2,1,1,11
S00089723,45,11,-,11,11,5,2,1,2,1,1,1,-,11
S00089724,63,20,3,17,20,5,1,3,3,-,1,1,-,10
S00089725,72,27,3,24,16,10,4,3,3,3,1,1,-,5
S00089726,83,27,2,25,19,12,3,9,3,2,1,-,1,7
S00089727,81,23,1,22,27,5,1,3,3,5,3,2,1,11
S00089728,73,23,1,22,15,8,2,6,3,7,-,-,-,9
S00089729,116,34,2,32,37,14,3,6,7,6,-,-,-,9
S00089730,76,21,1,20,20,12,5,7,5,3,-,-,-,3
S00089731,88,34,4,30,19,8,8,4,4,3,1,1,-,7
