,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S00089386,208,17,3,157,2,0,5,1,23
S00089387,158,14,2,124,0,0,11,0,7
S00089388,159,8,0,124,0,0,4,1,22
S00089389,98,9,0,87,0,0,0,1,1
S00089390,93,2,0,72,0,1,5,6,7
S00089391,101,7,0,82,0,0,2,5,5
S00089392,85,1,0,81,0,0,1,2,0
S00089393,86,4,0,64,0,0,1,10,7
S00089394,68,4,0,64,0,0,0,0,0
S00089395,111,10,0,92,0,0,0,3,6
S00089396,72,4,0,61,1,0,2,2,2
S00089397,101,11,0,75,0,0,0,4,11
S00089398,96,2,2,85,1,0,1,0,5
S00089399,51,3,0,48,0,0,0,0,0
S00089400,98,9,1,62,0,0,1,0,25
S00089401,73,1,0,68,0,0,0,4,0
S00089402,84,7,0,71,0,0,2,0,4
S00089403,98,17,0,68,0,0,4,4,5
S00089404,95,18,2,66,1,0,1,0,7
S00089405,112,16,3,75,0,0,6,2,10
S00089406,145,33,1,93,4,0,6,0,8
S00089407,128,9,0,95,0,0,3,1,20
S00089408,104,6,0,69,0,0,6,6,17
S00089409,117,7,0,93,0,0,1,1,15
S00089410,121,13,0,69,3,0,2,0,34
S00089411,98,19,0,65,0,1,0,0,13
S00089412,190,22,2,136,0,1,4,0,25
S00089413,188,33,1,115,2,2,10,0,25
S00089414,63,3,0,59,0,0,1,0,0
S00089415,97,8,0,84,0,0,0,0,5
S00089416,151,19,1,99,0,0,12,0,20
S00089417,133,18,0,96,0,0,5,2,12
S00089418,149,26,3,84,2,0,8,0,26
S00089419,118,12,0,82,0,0,0,0,24
S00089420,142,11,0,112,1,0,4,2,12
S00089421,171,24,4,123,0,2,7,2,9
S00089422,88,15,1,64,0,0,2,0,6
S00089423,163,26,3,117,1,0,3,0,13
S00089424,144,30,1,95,0,0,4,0,14
S00089425,183,25,2,103,1,1,13,0,38
S00089426,189,14,0,129,0,0,24,1,21
S00089427,79,14,1,56,2,2,2,0,2
S00089428,83,10,2,59,1,2,0,0,9
S00089429,135,19,3,97,0,0,7,2,7
S00089430,126,21,1,89,2,1,1,0,11
S00089431,138,7,0,108,2,0,9,0,12
S00089432,61,7,0,41,0,0,7,0,6
S00089433,74,9,1,55,0,0,1,0,8
S00089434,80,8,1,55,0,0,5,0,11
S00089435,120,17,2,79,2,3,7,0,10
S00089436,117,11,1,87,1,0,4,0,13
S00089437,142,20,1,97,1,0,6,0,17
S00089438,154,27,1,106,1,2,11,0,6
S00089439,112,27,0,71,1,0,5,0,8
S00089440,59,13,2,30,1,0,2,0,11
S00089441,83,5,0,72,0,0,0,4,2
S00089442,106,19,1,75,2,3,2,0,4
S00089443,63,14,0,44,0,1,2,0,2
S00089444,132,17,2,74,0,3,3,2,31
S00089445,145,17,9,79,0,3,5,8,24
S00089446,109,18,3,62,0,6,0,5,15
S00089447,92,13,3,51,1,1,2,1,20
S00089448,104,16,1,55,0,0,3,6,23
S00089449,141,14,0,78,4,1,3,10,31
S00089450,94,6,0,70,0,0,1,11,6
S00089451,91,5,0,70,0,1,3,9,3
S00089452,99,5,0,82,0,0,2,0,10
S00089453,110,12,3,64,0,1,3,16,11
S00089454,76,7,4,58,0,0,0,4,3
S00089455,93,5,0,71,1,0,0,1,15
S00089456,128,7,0,87,1,2,1,6,24
S00089457,85,12,3,50,2,0,3,2,13
S00089458,79,9,4,40,0,0,2,11,13
S00089459,61,9,0,33,0,1,2,1,15
S00089460,84,8,0,73,0,0,0,1,2
S00089461,104,15,3,63,0,1,1,9,12
S00089462,87,13,1,49,1,0,3,9,11
S00089463,132,14,2,90,0,0,6,7,13
S00089464,133,31,1,79,0,1,6,4,11
S00089465,84,5,2,60,0,1,6,0,10
S00089466,98,7,1,71,1,2,2,0,14
S00089467,82,14,1,54,0,0,2,2,9
S00089468,68,6,0,36,0,0,0,2,24
S00089469,114,14,0,81,0,0,2,1,16
S00089470,72,13,0,41,0,0,1,4,13
S00089471,73,8,2,40,0,1,0,13,9
S00089472,83,5,0,71,0,1,0,2,4
S00089473,94,4,0,73,0,0,7,3,7
S00089474,129,13,1,70,1,1,8,8,27
S00089475,70,4,2,36,0,0,3,15,10
S00089476,59,8,0,42,1,0,0,2,6
S00089477,104,8,0,57,0,4,6,9,20
S00089478,100,17,3,53,0,3,4,4,16
S00089479,71,14,1,44,0,0,1,1,10
S00089480,68,4,0,44,0,0,4,6,10
S00089481,123,17,3,79,1,2,2,3,16
S00089482,72,10,3,47,0,2,3,3,4
S00089483,87,12,4,45,1,4,7,1,13
S00089484,109,12,0,82,0,0,2,3,10
S00089485,68,4,0,33,0,0,4,9,18
S00089486,101,6,1,85,0,1,0,0,8
S00089487,80,4,1,61,0,1,2,2,9
S00089488,122,7,1,85,0,4,8,3,14
S00089489,131,17,1,62,0,3,9,7,32
S00089490,250,25,3,173,0,9,10,3,27
S00089491,109,10,1,75,1,2,5,2,13
S00089492,71,5,0,53,0,0,2,7,4
S00089493,74,4,0,58,0,2,2,6,2
S00089494,74,1,0,63,0,1,1,4,4
S00089495,69,9,1,34,1,0,0,6,18
S00089496,68,2,0,47,0,0,3,8,8
S00089497,213,32,3,104,1,1,22,16,34
S00089498,124,16,2,80,0,0,2,11,13
S00089499,71,4,0,54,0,0,0,12,1
S00089500,91,5,2,69,0,0,4,2,9
S00089501,146,10,1,87,0,0,0,36,12
S00089502,135,13,1,102,0,0,3,12,4
